Latitude,Longitude,Type,Depth,Magnitude,Magnitude Type,Root Mean Square,Source,Status,Year,Day,Month_sin,Month_cos,Hour_sin,Hour_cos,Type_Explosion,Type_Nuclear Explosion,Type_Rock Burst,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Source_ATLAS,Source_CI,Source_GCMT,Source_ISCGEM,Source_ISCGEMSUP,Source_NC,Source_NN,Source_OFFICIAL,Source_PR,Source_SE,Source_US,Source_UW,Status_Reviewed
0.5833771249447898,0.8443681692287803,Earthquake,0.4959840744170187,0.27766791827076487,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-1.5778295365743416,0.7041189159853337,1.2261839016359157,-0.3736795333732205,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0061093113230217,0.6988490466969536,Earthquake,0.07527226322520379,-0.1950820591893479,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-1.3471655826275009,0.7041189159853337,1.2261839016359157,0.3565107676207575,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7391616012524671,-1.7019615138472954,Earthquake,-0.41392751723039495,0.7504178957308776,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-1.2318336056540806,0.7041189159853337,1.2261839016359157,-1.4192037225479743,0.00668238552294031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0175990988649164,-0.5035242155761216,Earthquake,-0.45469416560169484,-0.1950820591893479,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-0.8858376747338198,0.7041189159853337,1.2261839016359157,-1.4192037225479743,0.00668238552294031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34068753270249097,0.6914790736164707,Earthquake,-0.45469416560169484,-0.1950820591893479,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-0.7705056977603996,0.7041189159853337,1.2261839016359157,-0.3736795333732205,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5009219823764062,1.0117900550019556,Earthquake,-0.29162757211649526,1.9322928393811583,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-0.6551737207869793,0.7041189159853337,1.2261839016359157,-0.3736795333732205,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8527333486280528,0.3842507903911509,Earthquake,-0.41392751723039495,0.041292929540709525,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-0.42450976684013875,0.7041189159853337,1.2261839016359157,-0.3736795333732205,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.49773394175581775,1.0084675914618892,Earthquake,-0.29162757211649526,0.27766791827076487,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,-0.07851383591987796,0.7041189159853337,1.2261839016359157,-0.37367953337322163,1.3762877756168317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9304593219021642,-0.5312990546664604,Earthquake,0.1975722083391035,0.27766791827076487,MW,-0.1038394858807635,ISCGEMSUP,Automatic,-1.9155231562254709,0.036818141053542315,0.7041189159853337,1.2261839016359157,0.3565107676207575,-1.3629230045709508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714652870068894,1.1062691261245137,Earthquake,4.029637155241294,-0.1950820591893479,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,0.15215011802696257,0.7041189159853337,1.2261839016359157,0.6967252869596395,-1.2212722137844014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2818106072238764,0.5525331703185881,Earthquake,1.2811497220482548,0.041292929540709525,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,0.15215011802696257,0.7041189159853337,1.2261839016359157,-1.2302165661015907,0.7156423039856735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.14236703882959437,0.6876944928454118,Earthquake,-0.41392751723039495,5.4779176703319985,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,0.9594739568409045,0.7041189159853337,1.2261839016359157,-0.008584382876231672,1.4246022224484063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7586350162221516,0.9725419605214597,Earthquake,-0.1285609786312957,-0.9042070253795159,MW,-0.1038394858807635,ISCGEM,Automatic,-1.9155231562254709,1.536133841708006,0.7041189159853337,1.2261839016359157,0.9888741178785475,-0.9959383463459798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
